Team & Current Season,Stadium,Capacity,Location
Barrow Raiders,Craven Park,"7,600","Barrow-in-Furness , Cumbria"
Batley Bulldogs,Mount Pleasant,"6,000","Batley , West Yorkshire"
Dewsbury Rams,Tetley 's Stadium,"3,500","Dewsbury , West Yorkshire"
Featherstone Rovers,Bigfellas Stadium,"6,750","Featherstone , West Yorkshire"
Halifax,The Shay Stadium,"6,561","Halifax , West Yorkshire"
Hunslet Hawks,South Leeds Stadium,N/A,"Leeds , West Yorkshire"
Leigh Centurions,Leigh Sports Village,"12,700","Leigh , Greater Manchester"
Sheffield Eagles,Bramall Lane,"32,702","Sheffield , South Yorkshire"
Toulouse Olympique XIII,Stade des Minimes,"4,066","Toulouse , Midi-Pyrénées , France"
Widnes Vikings,Stobart Stadium Halton,"13,500","Widnes , Cheshire"
York City Knights,Huntington Stadium,"3,428","York , North Yorkshire"
