No,Champion,Reign,Date,Days held,Location
1,Édouard Carpentier,1,"June 14 , 1957","1,636","Chicago , Illinois"
2,Freddie Blassie,1,"June 12 , 1961",289,"Los Angeles , California"
3,Rikidōzan,1,"March 28 , 1962",119,"Los Angeles , California"
4,Freddie Blassie,2,"July 25 , 1962",2,"Los Angeles , California"
5,The Destroyer,1,"July 27 , 1962",287,"San Diego , California"
6,Freddie Blassie,3,"May 10 , 1963",105,"Los Angeles , California"
7,Bearcat Wright,1,"August 23 , 1963",115,"Los Angeles , California"
8,Édouard Carpentier,2,"December 16 , 1963",45,"Indio , California"
9,Freddie Blassie,4,"January 30 , 1964",83,"Los Angeles , California"
10,Dick the Bruiser,1,"April 22 , 1964",91,"Los Angeles , California"
11,The Destroyer,2,"July 22 , 1964",50,"Los Angeles , California"
12,Bob Ellis,1,"September 10 , 1964",64,"Los Angeles , California"
13,The Destroyer,3,"November 13 , 1964",119,"San Diego , California"
#,Toyonobori,1,"December 12 , 1964",,"Tokyo , Japan"
14,Pedro Morales,1,"March 12 , 1965",133,"Los Angeles , California"
15,Luke Graham,1,"July 23 , 1965",86,"Los Angeles , California"
16,Pedro Morales,2,"October 17 , 1965",292,"Los Angeles , California"
17,Buddy Austin,1,"August 5 , 1966",28,"Los Angeles , California"
18,Bobo Brazil,1,"September 2 , 1966",14,"Los Angeles , California"
19,Buddy Austin,2,"September 16 , 1966",28,"Los Angeles , California"
