Year,Songwriter ( s ),Work,Performing artist ( s ),Nominees
2007,Manu Chao,Me Llaman Calle,Manu Chao,Kevin Johansen - Anoche Soñé Contigo ( Kevin Johansen ) Héctor Buitrago and Andrea Echeverri - Complemento ( Aterciopelados ) Vicentico for El Arbol De La Plaza ( Vicentico ) León Larregui - No Me Destruyas ( Zoé )
2008,Rubén Albarrán Emmanuel del Real Enrique Rangel Joselo Rangel,Volver a Comenzar,Café Tacvba,"J. L. Abreu , Marteen Andruet and Orlando Méndez - Alguien ( Circo ) Andrés Calamaro - 5 Minutos Más ( Minibar ) ( Andrés Calamaro ) Juan Campodónico and Fernando Santullo - El Mareo ( Bajofondo featuring Gustavo Cerati ) Ximena Sariñana - Normal ( Ximena Sariñana ) María del Mar Rodríguez Carnero - Papeles Mojados ( Chambao )"
2009,René Pérez Eduardo Cabra Rubén Albarrán Emmanuel del Real Enrique Rangel Joselo Rangel,No Hay Nadie Como Tú,Calle 13 featuring Café Tacvba,"Fernando Burgos , Gabriel Galvan and Denise Gutierrez - Bestia ( Hello Seahorse ! ) Cucu Diamantes , Andrés Levin , Beatriz Luengo and Yotuel Romero - Más Fuerte ( CuCu Diamantes ) Camila Moreno - Millones ( Camila Moreno ) Daniel 'Mono Loco ' Carbonell , Jules Bikôkô , Miki Ramirez , Tomas Tirtha Rundquist , DJ Helios , Didak Fernandez and Steffan Rundquist - Moving ( Macaco ) Alex Pérez and Juan Son - Nada ( Son )"
2010,Gloria Goyo Martinez Miguel Slow Martinez Carlos Tostao Valencia,De Donde Vengo Yo,ChocQuibTown,"Fernando Burgos , Gabriel Galvan and Denise Gutierrez - Criminal ( Hello Seahorse ! ) Ceci Bastida - Cuando Vuelvas a Caer ( Bastida ) Roberto Musso - El Hijo de Hernandez ( El Cuarteto de Nos ) Gustavo Cortes , Ricardo Cortes and Nicolas Gonzalez - Resistencia Indigena ( Sig Rigga )"
2011,Rafa Arcaute Calle 13,Calma Pueblo,Calle 13,Pascual Reyes - Salgamos de Aquí ( San Pascualito Rey ) Doctor Krápula - Somos ( Doctor Krápula ) DJ Blass and Fidel Nadal - Te Robaste Mi Corazón ( Nadal ) Sie7e - Tengo Tu Love ( Sie7e )
2012,Carla Morrison,Déjenme Llorar,Carla Morrison,"Bebe - Mi Guapo ( Bebe ) Juan Campodónico and Jorge Drexler - 1987 ( Campo ) John King , Kinky and Mala Rodríguez - Negro Día ( Kinky ) Caetano Veloso - Neguinho ( Gal Costa )"
2013,Bajofondo,Pena En Mi Corazón,Bajofondo,Leon Larregui - Brillas Hello Seahorse ! - La Flotadera Illya Kuryaki and the Valderramas - Monta El Trueno Sig Ragga - Pensando
2014,Calle 13,El Aguante,Calle 13,Gustavo Cortés and Sig Ragga - Chaplin ( Sig Ragga ) Jesús Báez Caballero and Siddhartha - El Aire ( Siddhartha ) Adrián Rodríguez and Diego Rodríguez - La Lanza ( Babasónicos ) Yayo González - Vamos A Morir ( Pate de Fua featuring Catalina García )
2015,Natalia Lafourcade Leonel García,Hasta la Raíz,Natalia Lafourcade,Famasloop - Allí Estás ( Famasloop ) Andrés Nusser - Caribbean ( Astro ) Roberto Musso - No Llora ( El Cuarteto de Nos ) Javiera Mena - Otra Era ( Mena )
2016,Carla Morrison,Vez Primera,Carla Morrison,"Gustavo Cortés , Ricardo Cortés and Nicolas González - Ángeles y Serafines ( Sig Ragga ) Vicentico - Averno , El Fantasma ( Los Fabulosos Cadillacs ) Felipe Antunes and Otávio Carvalho - Deus ( Vitrola Sintética ) Kevin Johansen - Es Como El Día ( Kevin Johansen + The Nada )"
2017,Mon Laferte,Amárrame,Mon Laferte featuring Juanes,Sig Ragga - Antonia ( Sig Ragga ) Robert Musso - Apocalipsis Zombi ( El Cuarteto de Nos ) Rafael Arcaute and Residente - Apocaliptico ( Residente ) Stephen Marley and Danay Suárez - Integridad ( Danay Suárez )
2018,Antón Alvarez Alfaro Pablo Diaz-Reixa Rosalía,Malamente,Rosalía,León Larregui - Azul ( Zoé ) Guillermo Galván - Consejo de Sabios ( Vetusta Morla ) Andrea Echeverri - Dúo ( Aterciopelados ) Dante Spinetta - Mi Vida ( Dante Spinetta )
