Team,No . of Appearances,Years in Semifinals
Nagoya Oceans,7,"2010 , 2011 , 2012 , 2013 , 2014 , 2016 , 2019"
Chonburi Blue Wave,4,"2013 , 2014 , 2016 , 2017"
Thái Sơn Nam,4,"2015 , 2017 , 2018 , 2019"
Al Rayyan,3,"2011 , 2012 , 2017"
Giti Pasand Isfahan,3,"2012 , 2013 , 2017"
Naft Al Wasat,3,"2015 , 2016 , 2018"
Shenzhen Nanling,2,"2013 , 2014"
Mes Sungun,2,"2018 , 2019"
Thai Port,1,2010
Foolad Mahan,1,2010
Al Sadd,1,2010
Shahid Mansouri,1,2011
Al Sadaka,1,2011
Ardus Tashkent,1,2012
Dabiri Tabriz,1,2014
Tasisat Daryaei,1,2015
Al Qadsia,1,2015
Dibba Al Hisn,1,2016
Bank of Beirut,1,2018
AGMK,1,2019
