Hospital name,City,County
Anchor Hospital,College Park,Clayton
Central State Hospital,Milledgeville,Baldwin
Coastal Behavioral Health,Savannah,Chatham
Coastal Harbor Treatment Center,Savannah,Chatham
Coliseum Center for Behavioral Health,Macon,Bibb
Crescent Pines Hospital,Stockbridge,Henry
East Central Regional Hospital Augusta,Augusta,Richmond
East Central Regional Hospital Gracewood,Gracewood,
Emory Wesley Woods Hospital,Atlanta,DeKalb
Georgia Regional Hospital Atlanta,Decatur,DeKalb
Georgia Regional Hospital Savannah,Savannah,Chatham
Hillside Hospital,Atlanta,Fulton
Laurel Heights Hospital,Atlanta,Fulton
Lighthouse Care Center of Augusta,Augusta,Richmond
Macon Behavioral Health System,Macon,Bibb
Peachford Hospital,Atlanta,Dekalb
Ridgeview Institute,Smyrna,Cobb
RiverWoods Behavioral Health System,Riverdale,Clayton
Saint Simons By-The-Sea,Saint Simons Island,Glynn
SummitRidge Hospital,Lawrenceville,Gwinnett
