Name,Dia,Name Origin
Dorsum Arduino,107 km,Giovanni Arduino ( 1714-1795 )
Dorsum Azara,105 km,Félix Manuel de Azara ( 1746-1811 )
Dorsum Bucher,90 km,Walter Hermann Bucher ( 1889-1965 )
Dorsum Buckland,380 km,William Buckland ( 1784-1856 )
Dorsum Cayeux,84 km,Lucien Cayeux ( 1864-1944 )
Dorsum Cloos,100 km,Hans Cloos ( 1885-1951 )
Dorsum Cushman,80 km,Joseph Augustine Cushman ( 1881-1949 )
Dorsum Gast,60 km,Paul Werner Gast ( 1930-1973 )
Dorsum Grabau,121 km,Amadeus William Grabau ( 1870-1946 )
Dorsum Guettard,40 km,Jean-Etienne Guettard ( 1715-1786 )
Dorsum Heim,148 km,Albert Heim ( 1849-1937 )
Dorsum Higazy,60 km,Riad Higazy ( 1919-1967 )
Dorsum Nicol,50 km,William Nicol ( 1768-1851 )
Dorsum Niggli,50 km,Paul Niggli ( 1888-1953 )
Dorsum Oppel,268 km,Albert Oppel ( 1831-1865 )
Dorsum Owen,50 km,George Owen ( 1552-1613 )
Dorsum Scilla,108 km,Agostino Scilla ( 1639-1700 )
Dorsum Termier,90 km,Pierre-Marie Termier ( 1859-1930 )
Dorsum Thera,7 km,Greek feminine name
Dorsum Von Cotta,199 km,Carl Bernard von Cotta ( 1808-1879 )
