Year,French title,English title,Directed by
1970,Le Cercle Rouge,The Red Circle,Jean-Pierre Melville
1970,L'Enfant sauvage,The Wild Child,François Truffaut
1970,Le Boucher,The Butcher,Claude Chabrol
1970,Domicile conjugal,Bed and Board,François Truffaut
1971,Les deux anglaises et le continent,Two English Girls,François Truffaut
1972,Une belle fille comme moi,Such a Gorgeous Kid Like Me,François Truffaut
1973,La Planète sauvage,Fantastic Planet,René Laloux
1973,La Bonne année,,Claude Lelouch
1974,Sweet Movie,,Dušan Makavejev
1974,L ' Horloger de Saint-Paul,The Clockmaker,Bertrand Tavernier
1974,Toute une vie,,Claude Lelouch
1974,Les Valseuses,Going Places,Bertrand Blier
1974,La Nuit américaine,Day for Night,François Truffaut
1975,"Jeanne Dielman , 23 quai du Commerce , 1080 Bruxelles",,Chantal Akerman
1975,L'Histoire d'Adèle H,The Story of Adele H,François Truffaut
1975,Le Chat et la souris,,Claude Lelouch
1975,La Bête,,Walerian Borowczyk
1976,C'était un rendez-vous,,Claude Lelouch
1976,Si c'était à refaire,If I Had to Do It All Over Again,Claude Lelouch
1976,À nous les petites Anglaises,Let 's Get Those English Girls,Michel Lang
