Rank,Name,Nation,SP,FS
1,Aliona Savchenko / Stanislav Morozov,Ukraine,2,1
2,Julia Obertas / Dmitri Palamarchuk,Ukraine,1,2
3,Julia Shapiro / Alexei Sokolov,Russia,3,4
4,Zhang Dan / Zhang Hao,China,7,3
5,Amanda Magarian / Jered Guzman,United States,5,5
6,Elena Riabchuk / Stanislav Zakharov,Russia,6,6
7,Milica Brozovic / Anton Nimenko,Russia,4,8
8,Chantal Poirier / Craig Buntin,Canada,9,7
9,Viktoria Shklover / Valdis Mintals,Estonia,8,11
10,Claudia Rauschenbach / Robin Szolkowy,Germany,12,10
11,Ding Yang / Ren Zhongfei,China,16,9
12,Diana Riskova / Vladimir Futas,Slovakia,10,12
13,Larissa Spielberg / Craig Joeright,United States,11,13
14,Sabrina Lefrançois / Jérôme Blanchard,France,14,14
15,Jessica Waldstein / Garrett Lucash,United States,13,15
16,Virginia Toombs / James Johnson,Canada,15,16
17,Maria Krasiltseva / Artem Znachkov,Armenia,18,17
18,Rebecca Corne / Richard Rowlands,United Kingdom,19,18
19,Irina Shabanov / Artem Knyazev,Uzbekistan,17,19
20,Tatjana Zaharjeva / Jurijs Salmanov,Latvia,20,20
