Province Name,Ottoman Turkish Name and Transliteration ( Modern Turkish ),Existed for
Habesh Eyalet,Habeş,313 years ( 1554-1867 )
Adana Eyalet,آضنه Ażana ( Adana ),257 years ( 1608-1865 )
Archipelago,جزایر بحر سفید Cezayir-i Bahr-i Sefid,329 years ( 1535-1864 )
Aleppo Eyalet,حلب Ḥaleb ( Halep ),330 years ( 1534-1864 )
Algiers Eyalet,"جزایر غرب Cezâyîr-i Ġarb ( Cezayir Garp , Cezayir )",313 years ( 1517-1830 )
Anatolia Eyalet,Anadolu,448 years ( 1393-1841 )
Baghdad Eyalet,بغداد Baġdâd ( Bağdat ),326 years ( 1535-1861 )
Basra Eyalet,بصره Baṣra ( Basra ),324 years ( 1538-1862 )
Bosnia Eyalet,Bosna,284 years ( 1580-1864 )
Budin Eyalet,Budin,145 years ( 1541-1686 )
Kıbrış Eyalet,قبرص Ḳıbrıṣ ( Kıbrıs ),092 years ( 1571-1660 ; 1745-1748 )
Diyarbekir Eyalet,دیار بكر Diyârbekir ( Diyarbakır ),305 years ( 1541-1846 )
Eger Eyalet,اكر Egir ( Eğri ),065 years ( 1596-1661 )
Egypt Eyalet,مصر Mıṣır ( Mısır ),350 years ( 1517-1867 )
Erzurum Eyalet,Erzurum,334 years ( 1533-1867 )
Al-Hasa Eyalet,Lahsa,110 years ( 1560-1670 )
Kefe Eyalet ( Theodosia ),كفه Kefe,206 years ( 1568-1774 )
Kanizsa Eyalet,Kanije,086 years ( 1600-1686 )
Karaman Eyalet,Karaman,381 years ( 1483-1864 )
Kars Eyalet,Kars,295 years ( 1580-1875 )
