Season,Player,School,State,Position,Class
1982-83,Earl Jones,District of Columbia,"Washington , D.C",C,Junior
1983-84,Earl Jones ( 2 ),District of Columbia ( 2 ),"Washington , D.C",C,Senior
1984-85,Charles Oakley,Virginia Union,Virginia,PF,Senior
1985-86,Todd Linder,Tampa,Florida,SF,Junior
1986-87,Ralph Talley,Norfolk State,Virginia,PG,Senior
1987-88,Jerry Johnson,Florida Southern,Florida,PG,Senior
1988-89,Kris Kearney,Florida Southern ( 2 ),Florida,F,Senior
1989-90,A. J. English,Virginia Union ( 2 ),Virginia,SG,Senior
1990-91,Corey Crowder,Kentucky Wesleyan,Kentucky,SF / SG,Senior
1991-92,Eric Manuel,Oklahoma City,Oklahoma,SF,Senior
1992-93,Alex Wright,Central Oklahoma,Oklahoma,SG,Senior
1993-94,Derrick Johnson,Virginia Union ( 3 ),Virginia,C / PF,Senior
1994-95,Stan Gouard,Southern Indiana,Indiana,G,Junior
1995-96,Stan Gouard ( 2 ),Southern Indiana ( 2 ),Indiana,G,Senior
1996-97,Kebu Stewart,Cal State Bakersfield,California,PF,Senior
1997-98,Joe Newton,Central Oklahoma ( 2 ),Oklahoma,PG / SG,Senior
1998-99,Antonio García,Kentucky Wesleyan ( 2 ),Kentucky,F,Senior
1999-00,Ajumu Gaines,Charleston,West Virginia,PG,Senior
2000-01,Colin Ducharme,Longwood,Virginia,PF,Senior
2001-02,Ronald Murray,Shaw,North Carolina,SG / PG,Senior
