Market /city,Call sign,Affiliation,Available ?,Notes
"Minneapolis-St. Paul , Minnesota",WCCO-TV,CBS,Yes,"Shaw Cable , MTS TV"
"Minneapolis-St. Paul , Minnesota",KSTP-TV,ABC,Yes,
"Minneapolis-St. Paul , Minnesota",KARE,NBC,Yes,"Shaw Cable , MTS TV"
"Minneapolis-St. Paul , Minnesota",KMSP-TV,Fox,Yes,MTS TV
"Minneapolis-St. Paul , Minnesota",KTCA,PBS,No,
"Minneapolis-St. Paul , Minnesota",KTCI,PBS,Yes,"Northwest Ontario , except Kenora"
"Minneapolis-St. Paul , Minnesota",WFTC,MyNet,Dropped,Bumped for KMSP-TV after Fox / UPN switch in 2002
"Pembina , North Dakota",KNRR,Fox,Dropped,"Available over-the-air in Winnipeg , but bumped off cable in favor for WUHF upon CRTC 's request . Semi-satellite of KVRR in Fargo"
"Williston , North Dakota",KUMV,NBC,Dropped,Bumped for KARE or WDIV
"Williston , North Dakota",KXMD,CBS,Dropped,Bumped for WCCO or WWJ
"Grand Forks , North Dakota",KGFE,PBS,Dropped,"PPTV source signal through digital conversion , now relays Minnesota Channel , not carried in Canada"
"Grand Forks , North Dakota",WDAZ-TV,ABC,Yes,"8.1 ABC only ; Shaw Cable , MTS TV"
"Grand Forks , North Dakota",KBRR,Fox,No,
"Grand Forks , North Dakota",KCGE,PBS,Yes*,PPTV replaced KGFE with KCGE . Only 16.1 carried . Station signal otherwise identical to KFME
"Grand Forks , North Dakota",KCPM,MyNet,No,
"Fargo , North Dakota",KXJB-TV,CBS,Dropped,Bumped for WCCO or WWJ
"Fargo , North Dakota",WDAY-TV,ABC,No,
"Fargo , North Dakota",KVLY-TV,NBC,Dropped,Bumped for KARE or WDIV
"Fargo , North Dakota",KFME,PBS,Yes,"13.1 PPTV Only , Manitoba and Kenora ; Shaw Cable , MTS TV"
"Fargo , North Dakota",KVRR,Fox,No,
