Year,Make,Car,Wins
1975,Chevrolet Triumph,Chevrolet Camaro Triumph Dolomite,
1979,BL Mini,Mini 1275 GT,
1991,BMW,BMW M3,8/14
1992,Vauxhall,Vauxhall Cavalier,5/15
1993,BMW,BMW 318i,8/17
1994,Alfa Romeo,Alfa Romeo 155,9/21
1995,Renault,Renault Laguna,10/25
1996,Audi,Audi A4,8/26
1997,Renault,Renault Laguna,14/24
1998,Nissan,Nissan Primera,9/26
1999,Nissan,Nissan Primera,13/26
2000,Ford,Ford Mondeo,11/24
2001,Vauxhall,Vauxhall Astra Coupé,25/26
2002,Vauxhall,Vauxhall Astra Coupé,15/20
2003,Vauxhall,Vauxhall Astra Coupé,11/20
2004,Vauxhall,Vauxhall Astra Coupé,11/30
2005,Vauxhall,Vauxhall Sport Hatch,8/30
2006,SEAT,SEAT León,11/30
2007,Vauxhall,Vauxhall Vectra,10/30
2008,Vauxhall,Vauxhall Vectra,8/30
