Community,Airport name,ICAO,IATA
Alert,Alert Airport,CYLT,YLT
Arctic Bay,Arctic Bay Airport,CYAB,YAB
Arviat,Arviat Airport,CYEK,YEK
Arviat,Arviat Water Aerodrome,,
Baker Lake,Baker Lake Airport,CYBK,YBK
Baker Lake,Baker Lake Water Aerodrome,,
Cambridge Bay,Cambridge Bay Airport,CYCB,YCB
Cambridge Bay,Cambridge Bay Water Aerodrome,,
Cape Dorset,Cape Dorset Airport,CYTE,YTE
Chesterfield Inlet,Chesterfield Inlet Airport,CYCS,YCS
Clyde River,Clyde River Airport,CYCY,YCY
Coral Harbour,Coral Harbour Airport,CYZS,YZS
Doris Lake,Doris Lake Aerodrome,,JOJ
Eureka,Eureka Aerodrome,CYEU,YEU
George Lake,George Lake Aerodrome,,
Gjoa Haven,Gjoa Haven Airport,CYHK,YHK
Goose Lake,Goose Lake Aerodrome,,
Grise Fiord,Grise Fiord Airport,CYGZ,YGZ
Hall Beach,Hall Beach Airport,CYUX,YUX
Hope Bay,Hope Bay Aerodrome,,UZM
