Date,Co-Hosts,Guests/Segments
August 1,Kelly Ripa & Cameron Mathison,"Joan Allen , Tatum O'Neal , Grilling with the Stars"
August 4,Kelly Ripa & George Lopez,America Ferrera
August 5,Kelly Ripa & Anderson Cooper,"Luke Wilson , Blake Lively"
August 6,Kelly Ripa & Emeril Lagasse,"Dennis Hopper , Sharon Osbourne"
August 7,Kelly Ripa & Seann William Scott,Penélope Cruz
August 8,Kelly Ripa & Mark Consuelos,"Kiefer Sutherland , Laurie Berkner , Grilling with the Stars"
August 11,Regis Philbin & Kelly Ripa,"Rainn Wilson , Natasha Bedingfield , Jay Manuel"
August 12,Regis Philbin & Emily Procter,"Susan Sarandon , Jonas Brothers"
August 13,Regis Philbin & Becki Newton,Ben Stiller
August 14,Regis Philbin & Lisa Rinna,"Anna Faris , Ana Ortiz"
August 15,Regis Philbin & Joanna Philbin,"Robert Downey Jr. , Katharine McPhee , Will Ferrell , Grilling with the Stars"
