Year,Artist,Album,Certification,Sales
1995,Céline Dion,D'eux,Diamond,"4,235,000"
1982,Michael Jackson,Thriller,Diamond,"3,760,000"
1994,Francis Cabrel,Samedi soir sur la terre,Diamond,"3,385,000"
1979,Supertramp,Breakfast In America,Platinum,"3,072,100"
1997,Andrea Bocelli,Romanza,Diamond,"2,855,000"
1998,Musical,Notre-Dame de Paris,Diamond,"2,830,000"
1997,Louise Attaque,Louise Attaque,Diamond,"2,760,000"
1980,AC/DC,Back In Black,Diamond,"2,500,000"
2002,Patrick Bruel,Entre deux,Diamond,"2,230,000"
1989,Patrick Bruel,Alors regarde,Diamond,"2,195,000"
1997,Era,Era,Diamond,"2,180,000"
1991,Michael Jackson,Dangerous,Diamond,"2,180,000"
1991,Queen,Greatest Hits II,Diamond,"2,170,000"
2002,Renaud,Boucan d'enfer,Diamond,"2,135,000"
1978,Musical,Starmania,Diamond,"2,085,000"
1997,Florent Pagny,Savoir aimer,Diamond,"2,070,000"
1976,Jean-Michel Jarre,Oxygène,2× Platinum,"2,070,000"
2013,Stromae,Racine carrée,4× Diamond,"2,065,000"
1978,Soundtrack,Grease,Platinum,"2,045,000"
1999,Johnny Hallyday,Sang pour sang,Diamond,"2,020,000"
