Site,Country,Launches,Successes,Failures,Partial failures
Baikonur,Kazakhstan,19,18,0,1
Cape Canaveral,United States,3,3,0,0
Dombarovsky,Russia,1,1,0,0
Jiuquan,People 's Republic of China,3,3,0,0
Kapustin Yar,Russia,1,1,0,0
Kennedy,United States,4,4,0,0
Kwajalein Atoll,Marshall Islands,4,3,1,0
Kourou,France,6,6,0,0
Ocean Odyssey,International,5,5,0,0
Plesetsk,Russia,6,6,0,0
Satish Dhawan,India,3,3,0,0
Semnan,Iran,1,0,1,0
Taiyuan,People 's Republic of China,4,4,0,0
Tanegashima,Japan,1,1,0,0
Vandenberg,United States,4,4,0,0
Xichang,People 's Republic of China,4,4,0,0
