Team,Location,Venue,Capacity,Position in 2009
BATE,Borisov,"City Stadium , Borisov","5,400",1
Dinamo Minsk,Minsk,Dinamo-Yuni,"4,500",2
Dnepr,Mogilev,"Spartak , Mogilev","7,350",3
Naftan,Novopolotsk,Atlant,"5,300",4
Dinamo Brest,Brest,OSK Brestskiy,"10,162",5
Shakhtyor,Soligorsk,Stroitel,"4,500",6
Neman,Grodno,Neman,"8,500",7
Torpedo,Zhodino,"Torpedo , Zhodino","3,020",8
Minsk,Minsk,"Dinamo , Minsk","41,000",9
Vitebsk,Vitebsk,"Central , Vitebsk","8,300",10
Partizan,Minsk,Traktor,"17,600",11
Belshina,Bobruisk,"Spartak , Bobruisk","3,700","First League , 1"
