Medal,Name,Sport,Event
Gold,Eero Mäntyranta,Cross-country skiing,Men 's 15 km
Gold,Eero Mäntyranta,Cross-country skiing,Men 's 30 km ( mass start )
Gold,Veikko Kankkonen,Ski jumping,Men 's normal hill ( K90 individual 70m )
Silver,Väinö Huhtala Kalevi Laurila Eero Mäntyranta Arto Tiainen,Cross-country skiing,Men 's 4 × 10 km relay
Silver,Mirja Lehtonen,Cross-country skiing,Women 's 5 km
Silver,Veikko Kankkonen,Ski jumping,Men 's large hill ( K120 individual 90m )
Silver,Kaija Mustonen,Speed skating,Women 's 1500m
Bronze,Arto Tiainen,Cross-country skiing,Men 's 50 km
Bronze,Mirja Lehtonen Senja Pusula Toini Pöysti,Cross-country skiing,Women 's 3 x 5 km relay
Bronze,Kaija Mustonen,Speed skating,Women 's 1000m
