#,Title,Characters,Year,Director,Series
1,Bad Ol ' Putty Tat,"Tweety , Sylvester","July 23 , 1949",Friz Freleng,MM
2,All a Bir-r-r-d,"Tweety , Sylvester , Hector","June 24 , 1950",Friz Freleng,LT
3,Room and Bird,"Tweety , Sylvester , Granny , Hector","June 2 , 1951",Friz Freleng,MM
4,Tweet Tweet Tweety,"Tweety , Sylvester","December 15 , 1951",Friz Freleng,LT
5,Gift Wrapped,"Tweety , Sylvester , Granny , Hector","February 16 , 1952",Friz Freleng,LT
6,Ai n't She Tweet,"Tweety , Sylvester , Granny , Hector","June 21 , 1952",Friz Freleng,LT
7,A Bird in a Guilty Cage,"Tweety , Sylvester","August 30 , 1952",Friz Freleng,LT
8,Snow Business,"Tweety , Sylvester , Granny","January 17 , 1953",Friz Freleng,LT
9,Tweetie Pie,"Tweety , Sylvester","May 3 , 1947",Friz Freleng,MM
10,Kitty Kornered,"Porky , Sylvester","June 8 , 1946",Bob Clampett,LT
11,Baby Bottleneck,"Daffy , Porky","March 16 , 1946",Bob Clampett,LT
12,Old Glory,Porky,"July 1 , 1939",Chuck Jones,MM
13,The Great Piggy Bank Robbery,Daffy,"July 20 , 1946",Bob Clampett,LT
14,Duck Soup to Nuts,"Daffy , Porky","May 27 , 1944",Friz Freleng,LT
15,Porky in Wackyland,Porky,"September 24 , 1938",Bob Clampett,LT
