0 Team 0,Last appearance in post-season,Seasons
Cleveland Browns,2002 AFC Wild Card,17
Tampa Bay Buccaneers,2007 NFC Wild Card,12
New York Jets,2010 AFC Championship,9
Arizona Cardinals,2015 NFC Championship,4
Cincinnati Bengals,2015 AFC Wild Card,4
Washington Redskins,2015 NFC Wild Card,4
Denver Broncos,Super Bowl 50,4
Las Vegas Raiders,2016 AFC Wild Card,3
Miami Dolphins,2016 AFC Wild Card,3
New York Giants,2016 NFC Wild Card,3
Detroit Lions,2016 NFC Wild Card,3
Carolina Panthers,2017 NFC Wild Card,2
Pittsburgh Steelers,2017 AFC Divisional,2
Atlanta Falcons,2017 NFC Divisional,2
Jacksonville Jaguars,2017 AFC Championship,2
Chicago Bears,2018 NFC Wild Card,1
Los Angeles Chargers,2018 AFC Divisional,1
Indianapolis Colts,2018 AFC Divisional,1
Dallas Cowboys,2018 NFC Divisional,1
Los Angeles Rams,Super Bowl LIII,1
