Name,Hometown,Elimination
Ananya Nanda,Odisha,Winner
Nahid Afrin,Assam,1st Runner-up
Nithyashree Venkataramanan,Chennai,2nd Runner-up
Vaishnav Girish,Kerala,Eliminated 10th
Moti Khan,Rajasthan,Eliminated 9th
Niharika Nath,Agartala,Eliminated 8th
Ranita Banerjee,Kolkata,Eliminated 7th
Sreelakshmi Belmannu,Bangalore,Eliminated 6th
Ajay Brijwasi,Mathura,Eliminated 5th
Yumna Ajin,Kerala,Eliminated 4th
Surendra Singh Panwar,Rajasthan,Eliminated 3rd
Vidhi Jaswal,Jammu and Kashmir,Eliminated 2nd
Shubhankar,Kolkata,Eliminated 1st
