Medal,Name,Sport,Event
Gold,Carol Huynh,Wrestling,Women 's freestyle 48 kg
Gold,Andrew Byrnes Kyle Hamilton Malcolm Howard Adam Kreek Kevin Light Brian Price ( cox ) Ben Rutledge Dominic Sieterle Jake Wetzel,Rowing,Men 's eight
Gold,Eric Lamaze,Equestrian,Individual jumping
Silver,David Calder Scott Frandsen,Rowing,Men 's coxless pair
Silver,Karen Cockburn,Gymnastics,Women 's trampoline
Silver,Mac Cone Jill Henselwood Eric Lamaze Ian Millar,Equestrian,Team jumping
Silver,Simon Whitfield,Triathlon,Men 's event
Silver,Jason Burnett,Gymnastics,Men 's trampoline
Silver,Alexandre Despatie,Diving,Men 's 3 m springboard
Silver,Emilie Heymans,Diving,Women 's 10 m platform
Silver,Karine Sergerie,Taekwondo,Women 's 67 kg
Silver,Adam van Koeverden,Canoeing,Men 's K-1 500 m
Bronze,Tonya Verbeek,Wrestling,Women 's 55 kg
Bronze,Ryan Cochrane,Swimming,Men 's 1500 m freestyle
Bronze,Tracy Cameron Melanie Kok,Rowing,Women 's lightweight double sculls
Bronze,Iain Brambell Liam Parsons Jon Beare Mike Lewis,Rowing,Men 's lightweight coxless four
Bronze,Priscilla Lopes-Schliep,Athletics,Women 's 100 m hurdles
Bronze,Thomas Hall,Canoeing,Men 's C-1 1000 m
Bronze,Dylan Armstrong,Athletics,Men 's shot put
Bronze,Christine Girard,Weightlifting,Women 's 63 kg
