Opponent,S,Occurrences,GP,Rec,%
Anaheim Ducks,3,"2011 , 2016 , 2017",19,3-0,1.000
Chicago Blackhawks,3,"2010 , 2015 , 2017",16,1-2,.333
Detroit Red Wings,3,"2004 , 2008 , 2012",17,1-2,.333
San Jose Sharks,3,"2006 , 2007 , 2016",17,0-3,.000
Colorado Avalanche,1,2018,6,1-0,1.000
St. Louis Blues,1,2017,6,1-0,1.000
Arizona Coyotes,1,2012,5,0-1,.000
Dallas Stars,1,2019,6,0-1,.000
Pittsburgh Penguins,1,2017,6,0-1,.000
Vancouver Canucks,1,2011,6,0-1,.000
Winnipeg Jets,1,2018,7,0-1,.000
Totals,19,,111,7-12,.368
