Team,Home City,Arena,Coach
Akademija FMP,Skopje,Nezavisna Makedonija,Igor Gacov
EuroNickel 2005,Kavadarci,Jasmin,Goran Samardziev
Gostivar 2015,Gostivar,Mladost Gostivar,Marjan Srbinovski
Kožuv,Gevgelija,26-ti April,Aleksandar Jončevski
Kumanovo 2009,Kumanovo,Sports Hall Kumanovo,Aleksandar Petrović
MZT Skopje,Skopje,Jane Sandanski Arena,Gjorgji Kočov
MZT Skopje UNI Banka,Skopje,Jane Sandanski Arena,Goran Krstevski
Pelister,Bitola,Sports Hall Mladost,Zoran Todorović
Rabotnički,Skopje,Gradski Park,Dimitar Mirakovski
Vardar,Skopje,Kale,Darko Radulović
