Church,Dates,"City , State"
Old Presbyterian Church,built NRHP-listed,"Barnwell , South Carolina"
Mt . Zion Presbyterian Church,built NRHP-listed,"Bishopville , South Carolina"
Bethesda Presbyterian Church,1822 built 1985 NHL-designated,"Camden , South Carolina"
John 's Island Presbyterian Church,built NRHP-listed,"Charleston , South Carolina"
Catholic Presbyterian Church,built NRHP-listed,"Chester , South Carolina"
Duncan 's Creek Presbyterian Church,1842 built 1973 NRHP-listed,"Clinton , South Carolina"
Thornwell-Presbyterian College Historic District,built NRHP-listed,"Clinton , South Carolina"
Bethel Presbyterian Church,built NRHP-listed,"Clover , South Carolina"
"First Presbyterian Church ( Columbia , South Carolina )",built NRHP-listed,"Columbia , South Carolina"
Ladson Presbyterian Church,built NRHP-listed,"Columbia , South Carolina"
Woodrow Memorial Presbyterian Church,built NRHP-listed,"Columbia , South Carolina"
Kingston Presbyterian Church,built NRHP-listed,"Conway , South Carolina"
Kingston Presbyterian Church Cemetery,built NRHP-listed,"Conway , South Carolina"
Greenville Presbyterian Church,built NRHP-listed,"Donalds , South Carolina"
Edisto Island Presbyterian Church,built NRHP-listed,"Edisto Island , South Carolina"
Presbyterian Manse,built NRHP-listed,"Edisto Island , South Carolina"
Hopewell Presbyterian Church and Hopewell Cemetery,built NRHP-listed,"Florence , South Carolina"
Unity Presbyterian Church Complex,built NRHP-listed,"Fort Mill , South Carolina"
Fairview Presbyterian Church,built NRHP-listed,"Fountain Inn , South Carolina"
Richland Presbyterian Church,built NRHP-listed,"Gadsden , South Carolina"
