Round,Pick #,Overall,Name,Position,College
1,9,9,Doug Martin,Defensive end,Washington
2,2,30,Willie Teal,Cornerback,Louisiana State
3,12,68,Brent Boyd,Guard,UCLA
4,9,92,Dennis Johnson,Linebacker,USC
5,11,121,Doug Paschal,Running back,North Carolina
5,12,122,Paul Jones,Running back,California
6,10,148,Ray Yakavonis,Defensive end,East Stroudsburg
7,9,174,Henry Johnson,Linebacker,Georgia Tech
9,11,232,Dennis Mosley,Running back,Iowa
11,11,288,Sam Harrell,Running back,East Carolina
12,10,315,Thomas Lane,Defensive back,Florida A & M
