#,Secretary,Position,Year appointed,Party,Administration
1,Madeleine Albright *,Secretary of State,1997,Democratic,Bill Clinton
1,Condoleezza Rice,Secretary of State,2005,Republican,George W. Bush
1,Hillary Clinton,Secretary of State,2009,Democratic,Barack Obama
2,-,Secretary of the Treasury,-,-,-
3,-,Secretary of Defense,-,-,-
4,Janet Reno *,Attorney General,1993,Democratic,Bill Clinton
4,Loretta Lynch,Attorney General,2015,Democratic,Barack Obama
5,Gale Norton *,Secretary of the Interior,2001,Republican,George W. Bush
5,Sally Jewell,Secretary of the Interior,2013,Democratic,Barack Obama
6,Ann Veneman *,Secretary of Agriculture,2001,Republican,George W. Bush
7,Juanita M. Kreps *,Secretary of Commerce,1977,Democratic,Jimmy Carter
7,Barbara Franklin,Secretary of Commerce,1992,Republican,George H. W. Bush
7,Penny Pritzker,Secretary of Commerce,2013,Democratic,Barack Obama
8,Frances Perkins *,Secretary of Labor,1933,Democratic,Franklin D. Roosevelt
8,Ann Dore McLaughlin,Secretary of Labor,1987,Republican,Ronald Reagan
8,Elizabeth Dole,Secretary of Labor,1989,Republican,George H. W. Bush
8,Lynn Morley Martin,Secretary of Labor,1991,Republican,George H. W. Bush
8,Alexis Herman,Secretary of Labor,1997,Democratic,Bill Clinton
8,Elaine Chao,Secretary of Labor,2001,Republican,George W. Bush
8,Hilda Solis,Secretary of Labor,2009,Democratic,Barack Obama
