No,Position,Player,Nation
1,Goalkeeper,David Bingham,United States
2,Midfielder,Perry Kitchen,United States
3,Defender,Emiliano Insúa,Argentina
5,Defender,Daniel Steres,United States
7,Midfielder,Aleksandar Katai,Serbia
8,Midfielder,Jonathan dos Santos ( DP ),Mexico
10,Forward,"Cristian Pavón ( on loan from Boca Juniors , DP )",Argentina
12,Goalkeeper,Eric Lopez ( HG ),United States
14,Forward,Javier Hernández ( DP ),Mexico
15,Midfielder,Joe Corona,United States
16,Midfielder,Sacha Kljestan,United States
17,Midfielder,Sebastian Lletget,United States
19,Defender,Diedie Traore,France
20,Defender,Nick DePuy,United States
21,Defender,Giancarlo González,Costa Rica
22,Defender,Julian Araujo,United States
24,Defender,Danilo Acosta,United States
25,Defender,Rolf Feltscher,Venezuela
26,Midfielder,Efraín Álvarez ( HG ),Mexico
27,Midfielder,Emil Cuello,Argentina
