Program,Network,Debut date
Aussie Strike Force,Nat Geo Wild,11 January
"Stafford Brothers , The The Stafford Brothers",Fox8,21 January
You Have Been Watching You Have Been Watching,The Comedy Channel,17 February
Park Street Park Street,Arena,23 February
Dannii Minogue : Style Queen Dannii Minogue : Style Queen,Fox8,23 February
Richo Richo,Sky News Australia,23 February
"Donna Hay : Fast , Fresh , Simple Donna Hay : Fast , Fresh , Simple",The LifeStyle Channel,15 March
Trinny & Susannahs Australian Makeover Mission Trinny & Susannahs Australian Makeover Mission,LifeStyle You,4 April
Kalgoorlie Cops Kalgoorlie Cops,Crime & Investigation Network,14 April
Balls of Steel Australia Balls of Steel Australia,The Comedy Channel,19 April
Small Time Gangster Small Time Gangster,Movie Extra,19 April
Tony Robinson Explores Australia Tony Robinson Explores Australia,The History Channel,3 May
Breaking Breaking,MTV Australia,11 August
Slide Slide,Fox8,16 August
Eat Yourself Sexy Australia Eat Yourself Sexy Australia,LifeStyle You,25 August
Rove LA Rove LA,Fox8,19 September
WTF ! WTF !,Channel [ V ],21 September
Relocation Relocation Australia Relocation Relocation Australia,The LifeStyle Channel,28 September
Outback Wrangler Outback Wrangler,Nat Geo Wild,4 October
Planet Cake Planet Cake,LifeStyle Food,2 November
