Year,Time,Athlete,Location
1970,4:12.2,Karin Burneleit ( GDR ),Berlin
1971,4:09.6,Karin Burneleit ( GDR ),Helsinki
1972,4:01.4,Lyudmila Bragina ( URS ),Munich
1973,4:04.6,Karin Krebs ( GDR ),Potsdam
1974,4:02.25,Gunhild Hoffmeister ( GDR ),Rome
1975,4:06.0,Nina Morgunova ( URS ),Moscow
1976,3:56.0,Tatyana Kazankina ( URS ),Podolsk
1977,4:02.65,Natalia Marasescu ( ROU ),Bucharest
1978,3:59.01,Giana Romanova ( URS ),Prague
1979,3:57.4,Totka Petrova ( BUL ),Athens
1980,3:52.47,Tatyana Kazankina ( URS ),Zürich
1981,3:57.78,Olga Dvirna ( URS ),Budapest
1982,3:54.23,Olga Dvirna ( URS ),Kiev
1983,3:57.12,Mary Slaney ( USA ),Stockholm
1984,3:56.63,Nadezhda Ralldugina ( URS ),Prague
1985,3:57.24,Mary Slaney ( USA ),Brussels
