Year,Title,Role,Network
2002,Magandang Tanghali Bayan,Herself / Host,ABS-CBN
2002,Kahit Kailan,Abby,GMA Network
2002,Sana Ay Ikaw Na Nga,Patrice,GMA Network
2003,Starstruck : Season 1,Herself / Host,GMA Network
2003,Love to Love : Season 1,Emilie,GMA Network
2003,Mulawin,Muyak,GMA Network
2004,"Lagot Ka , Isusumbong Kita",Trisha,GMA Network
2004,Hanggang Kailan,Tara,GMA Network
2005,Love to Love : Season 4,Honeylet / Jamie,GMA Network
2005,Encantadia,Muyak,GMA Network
2005,Etheria : Ang Ikalimang Kaharian ng Encantadia,Muyak,GMA Network
2006,Encantadia : Pag-ibig Hanggang Wakas,Muyak,GMA Network
2006,Your Song Present : Para Sa 'Yo,Nancy,ABS-CBN
2006,Komiks,Nancy,ABS-CBN
2007,Love Spell,Rachel,ABS-CBN
2010,Starstruck : Season 5 Live Finale,Herself / Co-Host / Guest,GMA Network
