#,Position,Player,Transferred to,Fee,Date,Team
24,MF,Abou Diaby,Marseille,Free transfer ( Released ),10 June 2015,First team
31,MF,Ryo Miyaichi,FC St. Pauli,Free transfer ( Released ),10 June 2015,Reserves
37,DF,Semi Ajayi,Cardiff City,Free transfer ( Released ),10 June 2015,Reserves
46,MF,Jack Jebb,Stevenage,Free transfer ( Released ),10 June 2015,Reserves
48,FW,Austin Lipman,VCD Athletic,Free transfer ( Released ),10 June 2015,Reserves
54,DF,Brandon Ormonde-Ottewill,Swindon Town,Free transfer ( Released ),10 June 2015,Reserves
57,GK,Josh Vickers,Swansea City,Free transfer ( Released ),10 June 2015,Reserves
9,FW,Lukas Podolski,Galatasaray,"Undisclosed ( ~ £1,800,000 )",4 July 2015,First team
64,DF,George Dobson,West Ham United,Undisclosed,27 July 2015,Reserves
-,MF,Jonatas Centeno,Sheffield Wednesday,Free transfer ( Released ),4 August 2015,Reserves
