Name,Class Year ( s ),Degree ( s ),Notability
Mark Aguhar,,Fine Art,Artist and activist
Natalia Anciso,2008,BA,Contemporary artist and educator
Stacy Barnett,2009,BSc,Victim in the West Campus murders in 2009
Nancy Lee Bass,1937,English,Philanthropist
William Lee Bergstrom,,( never graduated ),Gambler and high roller
Brian Brushwood,1997,Plan II honors program,"Magician , podcaster , author , lecturer , known for Scam School"
Thomas Darnell,1979,,Contemporary artist
Monique Evans,,Nutritional Science and Pre-Med major,Miss Texas 2014
John Richard Fowler,,Bachelor of Science in Pharmacy,"Member and president of the Texas State Board of Pharmacy ( 1967-1973 ) ; local politician in Memphis , Texas"
Richard Garriott,,( never graduated ),Video game programmer and spaceflight participant
John Goosey,2008,BA,Victim in the West Campus murders in 2009
Susybelle Lyons,c. 1944,Degree not available,"Socialite and philanthropist from Shreveport , Louisiana ; active in Young Women 's Christian Association Family Violence Program and patron of the arts"
"Charles Schreiner , III",1947,Bachelor of Arts,Rancher from Kerr County who helped to save Texas Longhorn cattle from extinction
Jessica Trisko,2006,Master of Arts,Miss Earth 2007
