Name,Location,Year,Size ( gross leasable area )
Spencer Plaza,"Anna Salai , Chennai",1895,"530,000 sq ft ( 49,000 m )"
Chennai Citi Centre,"Dr. Radhakrishnan Salai , Mylapore , Chennai",2006,"117,600 sq ft ( 10,930 m )"
Ampa Skywalk,"Poonamallee High Road , Aminjikarai , Chennai",2009,"315,000 sq ft ( 29,300 m )"
Express Avenue,"Whites Road , Royapettah , Chennai",2010,"900,000 sq ft ( 84,000 m )"
Chandra Mall,"Arcot Road , Virugambakkam , Chennai",2011,"143,130 sq ft ( 13,297 m )"
Coromandel Plaza,"Navalur , OMR , Chennai",2011,"300,000 sq ft ( 28,000 m )"
Spectrum Mall,"Paper Mills Road , Perambur , Chennai",2011,"160,000 sq ft ( 15,000 m )"
Ramee Mall,"Anna Salai , Teynampet , Chennai",2012,"225,000 sq ft ( 20,900 m )"
Bergamo,"Khader Nawaz Khan Road , Nungambakkam , Chennai",2011,"40,000 sq ft ( 3,700 m )"
Gold Souk Grandé Mall Chennai,"GST Road , Vandalur , Chennai",2014,"800,000 sq ft ( 74,000 m )"
The Forum Vijaya,"Arcot Road , Vadapalani , Chennai",2013,"636,000 sq ft ( 59,100 m )"
Phoenix Market City ( Chennai ),"Velachery , Chennai",2013,"1,150,000 sq ft ( 107,000 m )"
VR Mall Chennai,"Jawaharlal Nehru Road , Anna Nagar , Chennai",2018,"2,000,000 sq ft ( 186,000 m )"
Brookefields Mall,"Brooke Bond Road , Coimbatore",2009,"450,000 sq ft ( 42,000 m )"
Fun Republic Mall,"Avinashi Road , Peelamedu , Coimbatore",2012,"325,000 sq ft ( 30,200 m )"
Prozone Mall,"Sivanandapuram , Coimbatore",2017,
Vishaal de Mal,"Chinna Chockikulam , Madurai",2012,"230,000 sq ft ( 21,000 m )"
Milan'em Mall,"K.K . Nagar , Madurai",2009,"90,000 sq ft ( 8,400 m )"
