No,Event,Date,Venue,Location
58,KSW 52 : Race,"December 7 , 2019",Gliwice Arena,"Gliwice , Poland"
57,KSW 51 : Croatia,"November 9 , 2019",Arena Zagreb,"Zagreb , Croatia"
56,KSW 50 : London,"September 14 , 2019",Wembley Arena,"London , Britain"
55,KSW 49 : Soldić vs. Kaszubowski,"May 18 , 2019",Ergo Arena,"Gdańsk , Poland"
54,KSW 48 : Szymański vs. Parnasse,"April 27 , 2019",Globus Hall,"Lublin , Poland"
53,KSW 47 : The X-Warriors,"March 23 , 2019",Atlas Arena,"Lodz , Poland"
52,KSW 46 : Narkun vs. Khalidov 2,"December 1 , 2018",Gliwice Arena,"Gliwice , Poland"
51,KSW 45 : The Return to Wembley,"October 6 , 2018",Wembley Arena,"London , Britain"
50,KSW 44 : The Game,"June 9 , 2018",Ergo Arena,"Gdańsk , Poland"
49,KSW 43 : Soldić vs. Du Plessis,"April 14 , 2018",Centennial Hall,"Wrocław , Poland"
48,KSW 42 : Khalidov vs. Narkun,"March 3 , 2018",Atlas Arena,"Łódź , Poland"
47,KSW 41 : Mankowski vs. Soldić,"December 23 , 2017",Spodek,"Katowice , Poland"
46,KSW 40 : Dublin,"October 22 , 2017",3Arena,"Dublin , Ireland"
45,KSW 39 : Colosseum,"May 27 , 2017",The PGE Narodowy,"Warsaw , Poland"
44,KSW 38 : Live in Studio,"April 7 , 2017",Studio Apricor,"Sękocin Nowy , Poland"
43,KSW 37 : Circus of Pain,"December 3 , 2016",Tauron Arena,"Krakow , Poland"
42,KSW 36 : Trzy Korony,"October 1 , 2016",Hala CRS,"Zielona Góra , Poland"
41,KSW 35 : Khalidov vs. Karaoglu,"May 27 , 2016",Ergo Arena,"Gdansk , Poland"
40,KSW 34 : New Order,"March 5 , 2016",Hala Torwar,"Warsaw , Poland"
39,KSW 33 : Khalidov vs. Materla,"November 28 , 2015",Tauron Arena,"Krakow , Poland"
