Title,Developer ( s ),Platform ( s ),Original release,Region ( s ) released
Hanakisō,HaccaWorks*,PlayStation 2,"July 6 , 2006",JP
Planetarian : The Reverie of a Little Planet,Key,PlayStation 2,"August 24 , 2006",JP
Tomoyo After : It 's a Wonderful Life CS Edition,Key,PlayStation 2,"January 25 , 2007",JP
Shinkyoku Sōkai Polyphonica,Ocelot,PlayStation 2,"April 26 , 2007",JP
Arabians Lost : The Engagement on Desert,Quin Rose,PlayStation 2,"October 11 , 2007",JP
Shinkyoku Sōkai Polyphonica : 3 & 4-wa Kanketsuhen,Ocelot,PlayStation 2,"December 27 , 2007",JP
Clannad,Key,Xbox 360,"August 28 , 2008",JP
Piyotan : Oyashiki Sennyū Taisakusen,,PlayStation 2,"August 28 , 2008",JP
Heart no Kuni no Alice,Quin Rose,PlayStation 2,"September 18 , 2008",JP
Shinkyoku Sōkai Polyphonica : The Black,Ocelot,PlayStation 2,"January 15 , 2009",JP
Time Leap,Front Wing,Xbox 360,"June 25 , 2009",JP
Little Busters ! Converted Edition,Key,PlayStation 2,"December 24 , 2009",JP
Clover no Kuni no Alice,Quin Rose,PlayStation 2,"April 15 , 2010",JP
Tomoyo After : It 's a Wonderful Life CS Edition,Key,Xbox 360,"September 22 , 2010",JP
Shinkyoku Sōkai Polyphonica : After School,Ocelot,PlayStation 2,"November 11 , 2010",JP
Clannad,Key,PlayStation 3,"April 21 , 2011",JP
Sangoku Koi Senki : Otome no Heihō !,Daisy2,PlayStation 2,"June 15 , 2011",JP
Time Leap,Front Wing,PlayStation 3,"January 12 , 2012",JP
Tomoyo After : It 's a Wonderful Life CS Edition,Key,PlayStation 3,"July 29 , 2012",JP
Little Busters ! Converted Edition,Key,PlayStation 3,"March 20 , 2013",JP
