Celebrity,Notability ( known for ),Professional partner,Result
Dorothy Hamill,Olympic figure skater,Tristan MacManus,"Withdrew on March 26 , 2013"
Wynonna Judd,Country music singer,Tony Dovolani,"Eliminated 1st on April 2 , 2013"
Lisa Vanderpump,Reality television star,Gleb Savchenko,"Eliminated 2nd on April 9 , 2013"
D. L. Hughley,Comedian & sitcom actor,Cheryl Burke,"Eliminated 3rd on April 16 , 2013"
Victor Ortiz,Professional boxer,Lindsay Arnold,"Eliminated 4th on April 23 , 2013"
Andy Dick,Actor & comedian,Sharna Burgess,"Eliminated 5th on April 30 , 2013"
Sean Lowe,Reality television star,Peta Murgatroyd,"Eliminated 6th on May 7 , 2013"
Ingo Rademacher,Soap opera actor,Kym Johnson,"Eliminated 7th on May 14 , 2013"
Aly Raisman,Olympic gymnast,Mark Ballas,"Eliminated 8th on May 21 , 2013"
Jacoby Jones,NFL wide receiver,Karina Smirnoff,"Third place on May 21 , 2013"
Zendaya,Disney Channel star,Valentin Chmerkovskiy,"Runner-up on May 21 , 2013"
Kellie Pickler,Country music singer,Derek Hough,"Winner on May 21 , 2013"
