Dance,Best dancer,Best score,Worst dancer,Worst score
Cha-Cha-Cha,Dorota Gardias,38,Paweł Nastula Francys Sudnicka Marcin Chochlew,20
Waltz,Monika Richardson,38,Anna Nowak-Ibisz,25
Quickstep,Bartek Kasprzykowski Dorota Gardias,40,Francys Sudnicka,18
Rumba,Dorota Gardias,40,Paweł Nastula,19
Jive,Bartek Kasprzykowski Dorota Gardias,36,Francys Sudnicka,21
Tango,Dorota Gardias,40,Paweł Nastula,28
Foxtrot,Bartek Kasprzykowski Dorota Gardias,40,Francys Sudnicka,29
Paso Doble,Bartek Kasprzykowski Dorota Gardias,40,Paweł Nastula,20
Samba,Jay Delano,40,Anna Nowak-Ibisz,28
Viennese Waltz,Monika Richardson Bartek Kasprzykowski,40,Francys Sudnicka,23
Freestyle,Bartek Kasprzykowski Dorota Gardias,40,-,-
