Year,Artist,Song,Language,Place,Points
2003,Volha Satsiuk,Tantsui ( Танцуй ),Belarusian,4,103
2004,Yahor Vauchok,Spjavajce sa mnoj ( Спявайце са мной ),Belarusian,14,9
2005,Ksenia Sitnik,My vmeste ( Мы вместе ),Russian,1,149
2006,Andrey Kunets,Novyi den ( Новый день ),Russian,2,129
2007,Alexey Zhigalkovich,S druz'yami ( С друзьями ),Russian,1,137
2008,"Dasha , Alina & Karyna",Serdtse Belarusi ( Сердце Беларуси ),"Belarusian , Russian",6,86
2009,Yuriy Demidovich,Volshebniy krolik ( Волшебный кролик ),Russian,9,48
2010,Daniil Kozlov,Muzyki svet ( Музыки свет ),Russian,5,85
2011,Lidiya Zablotskaya,Angely dobra ( Ангелы добра ),Russian,3,99
2012,Egor Zheshko,A more-more ( А море-море ),Russian,9,56
2013,Ilya Volkov,Poy so mnoy ( Пой со мной ),Russian,3,108
2014,Nadezhda Misyakova,Sokal ( Сокал ),Belarusian,7,71
2015,Ruslan Aslanov,Volshebstvo ( Magic ) ( Волшебство ),"Russian , English",4,105
2016,Alexander Minyonok,Muzyka moikh pobed ( Music is My Only Way ) ( Музыка моих побед ),"Russian , English",7,177
2017,Helena Meraai,I Am the One,Russian,5,149
2018,Daniel Yastremski,Time,"Russian , English",11,114
2019,Liza Misnikova,Pepelny ( Ashen ) ( Пепельный ),"Russian , English",11,92
