Aircraft,Allied Code name,First flown,Number built,Service
Aichi D3A Navy Type 99 Carrier Bomber,Val,1940,"1,486",IJN
Aichi B7A Ryusei Navy carrier torpedo bomber,Grace,1942,114,IJN
Aichi M6A1 Seiran Navy Special Strike Submarine Bomber,n/a,1943,28,IJN
Mitsubishi Ki-15 Army Type 97 Command Reconnaissance Plane,Babs,1936,500~,IJA
Mitsubishi Ki-51 Army Type 99 Assault Plane,Sonia,1939,"2,385",IJA
Mitsubishi B5M Navy Type 97 No.2 Carrier Attack Bomber,Mabel,1937,125,IJN
Nakajima B5N Navy Type 97 Carrier Attack Bomber,Kate,1937,"1,150~",IJN
Nakajima B6N Tenzan Navy Carrier Torpedo Bomber,Jill,1941,"1,268",IJN
Tachikawa Ki-36 Army Type 98 Direct Co-operation Aircraft,Ida,1938,"1,334",IJA
Yokosuka B4Y Navy Type 96 Carrier Attacker,Jean,1935,205,IJN
Yokosuka D4Y Suisei Navy Carrier Dive bomber,Judy,1942,"2,038",IJN
Yokosuka MXY-7 Ohka,Baka ( 'Fool ' in Japanese ),1944,852,IJN
