Year,Horse,Age,Trainer,Owner
1949,Bewitch,4,Ben A. Jones,Calumet Farm
1948,Conniver,4,William Post,Harry La Montagne
1947,But Why Not,3,Max Hirsch,King Ranch
1946,Gallorette,4,Edward A. Christmas,William L. Brann
1945,Busher,3,George M. Odom,Louis B. Mayer
1944,Twilight Tear,3,Ben A. Jones,Calumet Farm
1943,Mar-Kell,4,Ben A. Jones,Calumet Farm
1942,Vagrancy,3,James E. Fitzsimmons,Belair Stud
1941,Fairy Chant,4,Richard E. Handlen,"William du Pont , Jr"
1940,War Plumage,4,Howard Oots,"James Cox Brady , Jr"
1939,Lady Maryland,5,not found,Gustav Ring
1938,Esposa,6,Matthew P. Brady,"William Ziegler , Jr"
1938,Marica,5,Howard Wells,Thomas D. Taggart
1937,Esposa,5,Matthew P. Brady,"William Ziegler , Jr"
1936,Myrtlewood,4,Ray Kindred,Brownell Combs
