Name,Birthdate,Birthplace,1951-1952 team
Rube Bjorkman,"February 27 , 1929","Roseau , Minnesota",University of Minnesota
Len Ceglarski,"June 27 , 1926","East Walpole , Massachusetts",Boston College
Joseph Czarnota,"March 25 , 1925","Wakefield , Massachusetts",Boston University
Dick Desmond ( G ),"March 2 , 1927","Medford , Massachusetts",Dartmouth College
Andre Gambucci,"November 12 , 1928","Eveleth , Minnesota",Colorado College
Cliff Harrison,"October 30 , 1927","Walpole , Massachusetts",Dartmouth College
Gerald Kilmartin,"July 7 , 1926","Providence , Rhode Island",Brown University
John Mulhern,"July 18 , 1927","Boston , Massachusetts",Boston College
John Noah,"November 21 , 1927","Crookston , Minnesota",University of North Dakota
"Arnie Oss , Jr","April 18 , 1928","Minneapolis , Minnesota",Dartmouth College
Bob Rompre,"April 11 , 1929","International Falls , Minnesota",Colorado College
Jim Sedin,"June 25 , 1930","Saint Paul , Minnesota",University of Minnesota
Allen Van,"March 30 , 1915","Newport , Minnesota",University of Minnesota
Don Whiston,"June 19 , 1927","Lynn , Massachusetts",Brown University
Ken Yackel,"March 5 , 1930","Saint Paul , Minnesota",University of Minnesota
