Year,Title,Role,Notes
1993,Married ... with Children,Guy in Ray-Ray 's Gang,Episode : Hood ' n the Boyz
1995,Dave 's World,,Episode : Do the Write Thing
1997-2003,Buffy the Vampire Slayer,Xander Harris,143 episodes
2003,The Pool at Maddy Breaker 's,,Movie
2004,Celeste in the City,Dana Blodgett/Harrison,
2005-2006,Kitchen Confidential,Seth Richman,13 episodes
2006,Relative Chaos,Gil Gilbert,Movie
2006-2007,American Dragon : Jake Long,Huntsboy No . 89,Voice 6 episodes
2007,Fire Serpent,Jake Relm,Movie
2007-2014,Criminal Minds,Kevin Lynch,21 episodes
2009,Without a Trace,Edger,Episode : Undertow
2010-2011,Private Practice,Lee McHenry,"Season 4 Episodes All In The Family , Did You Hear What Happened to Charlotte King ? , Ca n't Find My Way Back Home , Blind Love"
2012,Hollywood Heights,Dan Testa,Episode : Loren and Kelly Clash
2014-2015,Faking It,Jackson Lee,Recurring character
2019,Dark/Web,TBA,Upcoming series
