Market / city,Call sign,Affiliation,Available ?
"Boston , Massachusetts",WBTS-CD,NBC,Yes
"Boston , Massachusetts",WBZ-TV,CBS,Yes
"Boston , Massachusetts",WCVB-TV,ABC,Yes
"Boston , Massachusetts",WHDH,Independent,Dropped at station 's network change
"Boston , Massachusetts",WFXT,Fox,Yes
"Boston , Massachusetts",WGBH,PBS,Yes
"Seattle , Washington",KIRO-TV,CBS,Yes
"Seattle , Washington",KOMO-TV,ABC,Yes
"Seattle , Washington",KING-TV,NBC,Yes
"Tacoma , Washington",KCPQ,Fox,Yes
"Seattle , Washington",KCTS-TV,PBS,Yes
"Atlanta , Georgia",WPCH-TV,Independent,Yes
"Chicago , Illinois",WGN-TV,Independent,Yes
"Boston , Massachusetts",WSBK-TV,MyNet,Yes
"New York City , New York",WPIX,The CW,Yes
"Los Angeles , California",KTLA,The CW,Yes
