Community,Airport name,TC LID
Airdrie,Airdrie Aerodrome,CEF4
Alhambra,Alhambra/Ahlstrom Aerodrome,CAM4
Athabasca,Athabasca Airport,
Athabasca oil sands,Anzac ( Long Lake ) Heliport,CNZ2
Banff,Banff Airport,
Banff,Banff Mineral Springs ( Hospital ) Heliport,CBM7
Banff,Banff ( Park Compound ) Heliport,CBP2
Barrhead,Barrhead Airport,CEP3
Barrhead,Barrhead ( Healthcare Centre ) Heliport,CHC3
Bashaw,Bashaw Airport,CFK2
Bassano,Bassano Airport,CEN2
Bassano,Bassano ( Health Centre ) Heliport,CBL4
Bawlf,Bawlf ( Blackwells ) Airport,CFR2
Beaverlodge,Beaverlodge Airport,CEU2
Beaverlodge,Beaverlodge/Clanachan Aerodrome,CLN4
Beiseker,Beiseker Airport,CFV2
Benalto,Benalto/Hillman 's Farm Aerodrome,CBH7
Birch Mountain,Birch Mountain Airport,CFM2
Bistcho,Bistcho Airport,CPB8
Black Diamond,Black Diamond ( Oilfields General Hospital ) Heliport,CFL3
