Title,Type,Language,Year
Desh Re Joya Dada Pardesh Joya,Movie,Gujarati,1998
Brahmrishi Vishwamitra,TV series,Hindi,1991
Ramayan,TV series,Hindi,1986
Vikram Aur Betal,TV serial,Hindi,1988
Dholi,Movie,Gujarati,1982
Maniyaro,Movie,Gujarati,1980
Santu Rangili,Movie,Gujarati,1976
Jogidas Khuman,Movie,Gujarati,1975
Hothal Padmini,Movie,Gujarati,1974
Trimurti,Movie,Hindi,1974
Kunwarbai Nu Mamerun,Movie,Gujarati,1974
Aaj Ki Taaza Khabar,Movie,Hindi,1973
Jangal Mein Mangal,Movie,Hindi,1972
Jesal Toral,Movie,Gujarati,1971
Paraya Dhan,Movie,Hindi,1971
