Title,Artist,Reached number one,Weeks at number one
Happy,Pharrell Williams,6 January 2014,15
One Dance,Drake featuring Wizkid & Kyla,2 May 2016,13
Shape of You,Ed Sheeran,16 January 2017,13
Despacito ( Remix ),Luis Fonsi and Daddy Yankee featuring Justin Bieber,29 May 2017,13
Old Town Road ( Remix ),Lil Nas X featuring Billy Ray Cyrus,15 April 2019,12
Party Rock Anthem,LMFAO featuring Lauren Bennett & GoonRock,4 April 2011,11
Roar,Katy Perry,19 August 2013,11
Blurred Lines,Robin Thicke featuring T.I . and Pharrell Williams,22 April 2013,11
Love Yourself,Justin Bieber,7 December 2015,10
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,12 November 2012,10
We Found Love,Rihanna featuring Calvin Harris,24 October 2011,9
Uptown Funk,Mark Ronson featuring Bruno Mars,22 December 2014,9
God 's Plan,Drake,5 February 2018,9
Señorita,Shawn Mendes and Camila Cabello,8 July 2019,9
Dance Monkey,Tones and I,9 September 2019,9
Whistle,Flo Rida,6 May 2012,8
See You Again,Wiz Khalifa featuring Charlie Puth,13 April 2015,8
What Do You Mean ?,Justin Bieber,7 September 2015,8
7 Years,Lukas Graham,22 February 2016,8
Closer,The Chainsmokers featuring Halsey,29 August 2016,8
