Site,Municipality,Comments,Ref
Seki Old Stelai 関の古碑群 Seki no ko-hi-gun,Fukaura,forty-two C14 memorial stelai,[ 2 ]
Hachinohe Southern House Graves 八戸南部家墓所 Hachinohe nanbu-ke bosho,Hachinohe,,[ 3 ]
Karauma Stele 唐馬の碑 Karauma no hi,Sannohe,,[ 4 ]
Ichirizuka 一里塚 ichirizuka,Hachinohe,in Tenma ; one mound survives,[ 5 ]
Ichirizuka 一里塚 ichirizuka,Towada,in Tairakubo ; both mounds survive,[ 6 ]
Ichirizuka 一里塚 ichirizuka,Towada,in Ikenotai ; both mounds survive,[ 7 ]
Ichirizuka 一里塚 ichirizuka,Noheji,in Bonozuka ; both mounds survive,[ 8 ]
Ichirizuka 一里塚 ichirizuka,Shichinohe,in Sotsukozawa ; both mounds survive,[ 9 ]
Ichirizuka 一里塚 ichirizuka,Shichinohe,in Morinokami ; both mounds survive,[ 10 ]
Ichirizuka 一里塚 ichirizuka,Hachinohe,in Nagakubo ; one mound survives,[ 11 ]
Ichirizuka 一里塚 ichirizuka,Hachinohe,in Shinden ; both mounds survive,[ 12 ]
Ichirizuka 一里塚 ichirizuka,Hachinohe,in Sunakozaki ; both mounds survive,[ 13 ]
Yahatazaki Site 八幡崎遺跡 Yahatazaki iseki,Hirakawa,,[ 14 ]
Hankyōzuka 藩境塚 Hankyōzuka,Hiranai / Noheji,four mounds,[ 15 ]
Noheji Battle Graves of the Dead 野辺地戦争戦死者の墓所 Noheji-sensō senshisha no bosho,Noheji,,[ 16 ]
Ichirizuka 一里塚 ichirizuka,Sannohe,in Nakano ; both mounds survive,[ 17 ]
Tonai Mass Graves and Memorial Stele 斗内千人塚 墳丘 供養塔 Tonai senninzuka funkyū kuyōtō,Sannohe,from the great famine of 1783-4 ( 天明の大飢饉 ),[ 18 ]
Memorial Stele and Platform for the Starved 餓死萬霊等供養塔及び戒壇石 Gashi banrei-tō kuyōtō oyobi kaidanseki,Hachinohe,from the 1780s famine ; in Teranoue,[ 19 ]
Nakasato Castle Site 中里城遺跡 Nakasato-jō iseki,Nakadomari,,[ 20 ]
Tairadate Battery Site 平舘台場跡 Tairadate daiba ato,Sotogahama,,[ 21 ]
