Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Cha Cha Cha,Frank Andersson,38,Hannah Graaf,5
Waltz,Frank Andersson,40,Anders Bagge Björn Ranelid,9
Rumba,Frank Andersson,40,Björn Ranelid,6
Quickstep,Helena Lundbäck,32,Andreas Weise,7
Jive,Jessica Andersson,37,Andreas Weise,8
Tango,Figge Norling,37,Björn Ranelid,12
Paso Doble,Frank Andersson,34,Björn Ranelid,11
Slowfox,Jessica Andersson,37,Figge Norling,18
Samba,Frank Andersson,33,Björn Ranelid,10
Rock ' n ' Roll,Alexander Rybak,10,Frank Andersson,5
Salsa,Frank Andersson,38,Alexander Rybak,19
Bugg,Jessica Andersson,39,Tina Thörner,28
Showdance,Jessica Andersson,40,Frank Andersson,39
