Team,Post-season streak,Consecutive post-season appearances,Stanley Cup Championships during streak
Boston Bruins,29 seasons,1967-68 through to 1995-96,"2 : 1969-70 , 1971-72"
Chicago Blackhawks,28 seasons,1969-70 through to 1996-97,none
St. Louis Blues,25 seasons,1979-80 through to 2003-04,none
Detroit Red Wings,25 seasons,1990-91 through to 2015-16,"4 : 1996-97 , 1997-98 , 2001-02 , 2007-08"
Montreal Canadiens,24 seasons,1970-71 through to 1993-94,"8 : 1970-71 , 1972-73 , 1975-76 , 1976-77 , 1977-78 , 1978-79 , 1985-86 , 1992-93"
Montreal Canadiens,21 seasons,1948-49 through to 1968-69,"10 : 1952-53 , 1955-56 , 1956-57 , 1957-58 , 1958-59 , 1959-60 , 1964-65 , 1965-66 , 1967-68 , 1968-69"
Detroit Red Wings,20 seasons,1938-39 through to 1957-58,"5 : 1942-43 , 1949-50 , 1951-52 , 1953-54 , 1954-55"
Philadelphia Flyers,17 seasons,1972-73 through to 1988-89,"2 : 1973-74 , 1974-75"
Atlanta Flames / Calgary Flames,16 seasons,1975-76 through to 1990-91,1 : 1988-89
Toronto Maple Leafs,15 seasons,1930-31 through to 1944-45,"3 : 1931-32 , 1941-42 , 1944-45"
New York Islanders,14 seasons,1974-75 through to 1987-88,"4 : 1979-80 , 1980-81 , 1981-82 , 1982-83"
Washington Capitals,14 seasons,1982-83 through to 1995-96,none
Edmonton Oilers,13 seasons,1979-80 through to 1991-92,"5 : 1983-84 , 1984-85 , 1986-87 , 1987-88 , 1989-90"
New Jersey Devils,13 seasons,1996-97 through to 2009-10,"2 : 1999-2000 , 2002-03"
Pittsburgh Penguins,13 seasons,2006-07 to present,"3 : 2008-09 , 2015-16 , 2016-17"
Buffalo Sabres,11 seasons,1974-75 through to 1984-85,none
Pittsburgh Penguins,11 seasons,1990-91 through to 2000-01,"2 : 1990-91 , 1991-92"
Philadelphia Flyers,11 seasons,1994-95 through to 2005-06,none
Quebec Nordiques / Colorado Avalanche,11 seasons,1994-95 through to 2005-06,"2 : 1995-96 , 2000-01"
Ottawa Senators,11 seasons,1996-97 through to 2007-08,none
