Year,Winner,Defeated,Date
1998,Scorpio Jr,El Hijo del Santo,"July 31 , 1998"
1999,El Hijo del Santo,Scorpio Jr,"December 3 , 1999"
2000,Negro Casas,El Hijo del Santo,"October 6 , 2000"
2001,Black Warrior,Negro Casas,"October 19 , 2001"
2002,El Felino,Black Warrior,"August 9 , 2002"
2004,Perro Aguayo Jr,El Felino,"July 30 , 2004"
2005,Atlantis,El Hijo del Santo,"November 11 , 2005"
2006,Místico,Atlantis,"September 15 , 2006"
2007,Místico ( 2 ),Mr. Águila,"June 8 , 2007"
2008,Místico ( 3 ),Perro Aguayo Jr,"July 25 , 2008"
2011,Volador Jr,Jushin Thunder Liger,"October 7 , 2011"
2014,Negro Casas ( 2 ),Titán,"January 3 , 2014"
2015,Negro Casas ( 3 ),Dragon Lee,"May 22 , 2015"
2016,La Máscara,Negro Casas,"July 22 , 2016"
2017,Volador Jr,Carístico,"October 20 , 2017"
2018,Bárbaro Cavernario,Fénix,"November 23 , 2018"
