Team,Location,Arena,Capacity
Aalborg Håndbold,Aalborg,Jutlander Bank Arena,"5,009"
Aarhus Håndbold,Aarhus,Ceres Arena,"5,001"
Bjerringbro-Silkeborg,Bjerringbro,Silkeborg-Hallerne,"2,845"
GOG,Gudme,Gudme-Hallerne,"2,265"
HC Midtjylland,Herning,Messecenter Herning,"3,350"
KIF Kolding,Kolding Copenhagen,Tre-For Arena,"5,182"
Mors-Thy,Nykøbing Mors Thisted,Jyske Bank Mors Arena Thy Hallen,"2,296 1,284"
Nordsjælland Håndbold,Helsinge Hillerød,Helsinge-Hallen Royal Stage,"1,600 3,000"
Ribe-Esbjerg,Esbjerg Ribe,Blue Water Dokken Invactor Arena,"3,386 1,976"
Skanderborg,Skanderborg,Fælledhallen,"2,000"
Skjern,Skjern,Skjern Bank Arena,"3,264"
SønderjyskE,Sønderborg,Broager Sparekasse Skansen,"2,200"
TTH Holstebro,Holstebro,Idrætscenter Vest,"3,250"
TM Tønder,Tønder,Tønder Sport- og FritidsCenter,"1,500"
