Year,Horse,Age,Trainer,Owner
2018,Accelerate,5,John Sadler,Hronis Racing
2017,Gun Runner,4,Steve Asmussen,Winchell Thoroughbreds & Three Chimneys Farm
2016,California Chrome,5,Art Sherman,California Chrome LLC
2015,Honor Code,4,Claude R. McGaughey III,Lane 's End Racing
2014,Main Sequence,5,Graham Motion,Flaxman Holdings
2013,Wise Dan,6,Charles Lopresti,Morton Fink
2012,Wise Dan,5,Charles Lopresti,Morton Fink
2011,Acclamation,5,Donald Warren,Old English Rancho
2010,Blame,4,Albert Stall Jr,Claiborne Farm
2009,Gio Ponti,4,Christophe Clement,Castleton Lyons
2008,Curlin,4,Steve Asmussen,Stonestreet Stables /Midnight Cry Stables
2007,Lawyer Ron,4,Todd A. Pletcher,Stonewall Farm
2006,Invasor,4,Kiaran McLaughlin,Shadwell Stable
2005,Saint Liam,5,Richard E. Dutrow Jr,M/M William K. Warren Jr
2004,Ghostzapper,4,Robert J. Frankel,Frank Stronach
2003,Mineshaft,4,Neil J. Howard,W. S. Farish /W . T. Webber/J . Elkins
2002,Left Bank,5,Todd A. Pletcher,Michael B. Tabor
2001,Tiznow,4,Jay M. Robbins,Cee 's Stable
2000,Lemon Drop Kid,4,Scotty Schulhofer,Jeanne G. Vance
1999,Victory Gallop,4,W. Elliott Walden,Prestonwood Farm
