Program,Subscription network,Free-to-air network,Date
"A-Team , The The A-Team",TV1,Network Ten,April
Battlestar Galactica,TV1,Seven Network,April
Benson,TV1,Nine Network,April
"Bionic Woman , The The Bionic Woman",TV1,,April
B. J. and the Bear,TV1,Nine Network,April
Dennis the Menace ( 1959 ),TV1,Seven Network Nine Network Network Ten ( as Channel 0 ),April
Dragnet,TV1,,April
Fonz and the Happy Days Gang,TV1,Nine Network,April
/ Friday the 13th : The Series,TV1,Network Ten,April
Gim me a Break !,TV1,,April
"Incredible Hulk , The The Incredible Hulk",TV1,Seven Network,April
"Jeffersons , The The Jeffersons",TV1,Network Ten ( as Channel 0 ),April
Knight Rider,TV1,Nine Network,April
McHale 's Navy,TV1,Nine Network,April
Miami Vice,TV1,Nine Network Network Ten,April
"Rockford Files , The The Rockford Files",TV1,Network Ten ( as Channel 0 ),April
She Wolf of London,TV1,,April
TJ Hooker,TV1,Network Ten,April
Webster,TV1,Nine Network,April
Twinkle the Dream Being,Max,,7 August
