Team,Qualification,Region,Group
Ireland,2012 ICC World Twenty20 Qualifier,Europe,A
Scotland,2012 ICC World Twenty20 Qualifier,Europe,B
Netherlands,2012 ICC World Twenty20 Qualifier,Europe,B
Afghanistan,2012 ICC World Twenty20 Qualifier,Asia,B
Canada,2012 ICC World Twenty20 Qualifier,Americas,A
Namibia,2012 ICC World Twenty20 Qualifier,Africa,A
United Arab Emirates,Tournament host,Asia,A
Papua New Guinea,2013 ICC East Asia-Pacific Men 's Championship,East Asia Pacific,B
United States,2013 ICC World Cricket League Americas Region Twenty20 Division One,Americas,A
Bermuda,2013 ICC World Cricket League Americas Region Twenty20 Division One,Americas,B
Kenya,2013 ICC World Cricket League Africa Region Twenty20 Division One,Africa,B
Uganda,2013 ICC World Cricket League Africa Region Twenty20 Division One,Africa,A
Hong Kong,2013 ACC Twenty20 Cup,Asia,A
Nepal,2013 ACC Twenty20 Cup,Asia,B
Italy,2013 ICC European T20 Championship Division One,Europe,A
Denmark,2013 ICC European T20 Championship Division One,Europe,B
