Medal,Name,Sport,Event,Date
Gold,Oscar Sanchez,Cycling,Mixed time trial H1-4,November 13
Gold,Steven Peace,Cycling,Mixed time trial T1-2,November 13
Gold,Amanda Everlove,Swimming,Women 's 100 metre butterfly S9,November 13
Gold,Anna Johannes,Swimming,Women 's 100 metre butterfly S9,November 13
Gold,Jarryd Wallace,Athletics,Men 's 100 metres T44,November 14
Gold,Erik Hightower,Athletics,Men 's 100 metres T54,November 14
Gold,Scott Winkler,Athletics,Men 's shot put F54/55/56,November 14
Gold,David Prince,Athletics,Men 's 400 metres T44,November 14
Gold,Amberlynn Weber,Athletics,Women 's 400 metres T54,November 14
Gold,Raymond Martin,Athletics,Men 's 800 metres T52,November 14
Gold,Amberlynn Weber,Athletics,Women 's 800 metres T54,November 14
Gold,Reilly Boyt,Swimming,Women 's 100 metre breaststroke SB6,November 14
Gold,Anna Johannes,Swimming,Women 's 100 metre breaststroke SB6,November 14
Gold,Haley Beranbaum,Swimming,Women 's 200 metre individual medley SM5,November 14
Gold,Chelsea McClammer,Athletics,Women 's 5000 metres T54,November 15
Gold,Zena Cole,Athletics,Women 's discus throw F51/52/53,November 15
Gold,Jennifer Schuble,Cycling,Women 's 500 metres time trial C1-5,November 15
Gold,Tahl Leibovitz,Table tennis,Men 's singles C9,November 15
Gold,Tanner Gers,Athletics,Men 's long jump F11,November 16
Gold,Chelsea McClammer,Athletics,Women 's 100 metres T53,November 16
