Round,Pick #,Overall,Name,Position,College
1,25,25,Chris Hovan,Defensive tackle,Boston College
2,24,55,Fred Robbins,Defensive tackle,Wake Forest
2,25,56,Michael Boireau,Defensive tackle,Miami ( FL )
3,26,88,Doug Chapman,Running back,Marshall
4,12,106,Antonio Wilson,Linebacker,Texas A & M-Commerce
4,24,118,Tyrone Carter,Safety,Minnesota
5,36,165,Troy Walters,Wide receiver,Stanford
7,34,240,Mike Malano,Center,San Diego State
7,38,244,Giles Cole,Tight end,Texas A & M-Kingsville
7,42,248,Lewis Kelly,Guard,South Carolina State
