P,Name,Age,Moving to,Type,Source
FW,Marcel,29,Benfica,Loan Expiration,Lancenet
GK,Douglas,27,Vitória de Guimarães,End of contract,O Gol
MF,Roberto Brum,32,Free Agent,Contract Terminated,UOL Esporte
MF,Zezinho,18,Bahia,Contract Terminated,Folha
MF,Rodriguinho,29,Neftchi,Transferred,Folha
MF,Robson,23,Avaí,Contract Terminated,Terra Esporte
MF,Victor Hugo,23,Free Agent,Contract Terminated,SantosFC.com.br
MF,Marquinhos,29,Grêmio,Swapped,Globo Esporte
MF,Moisés,22,Naútico,Contract Terminated,Futebol Interior
MF,Alan Patrick,20,Shakhtar Donetsk,Transferred,Shakhtar.com
DF,Jonathan,25,Internazionale,Transferred,UOL Esporte
FW,Zé Eduardo,23,Genoa,Transferred,Terra Esporte
FW,Maikon Leite,22,Palmeiras,End of contract,Globo Esporte
MF,Charles,26,Cruzeiro,Contract Terminated,Globo Esporte
DF,Alex Sandro,20,Porto,Transferred,Globo Esporte
FW,Keirrison,22,Barcelona,Loan Expiration,Placar
MF,Roger Gaúcho,25,Oeste,Loan Expiration,Globo Esporte
FW,Rychely,24,Vitória,Contract Terminated,Globo Esporte
DF,Éder Lima,25,Oeste,End of contract,Globo Esporte
