Site,Municipality,Type,Ref
Awa Kokubunni-ji Site 阿波国分尼寺跡 Awa Kokubunniji ato,Ishii,3,[ 1 ]
Awa Henro-michi 阿波遍路道 Awa henro michi,"Anan , Kamiyama , Katsuura , Komatsushima , Miyoshi",3,[ 2 ]
Kōzato Haiji Site 郡里廃寺跡 Kōzato Haiji ato,Mima,3,[ 3 ]
Shibunomaruyama Kofun 渋野丸山古墳 Shibunomaruyama kofun,Tokushima,1,[ 4 ]
Shōzui Castle Residence Site 勝瑞城 館跡 Shōzui-jō kan ato,Aizumi,2,[ 5 ]
Tanda Kofun 丹田古墳 Tanda kofun,Higashimiyoshi,1,[ 6 ]
Dannozukaana 段の塚穴 Dannozuka ana,Mima,1,[ 7 ]
Tokushima Castle Site 徳島城跡 Tokushima-jō ato,Tokushima,2,[ 8 ]
Tokushima Han Hachisuka Clan Graves 徳島藩主蜂須賀家墓所 Tokushima han-shu Hachisuka-ke bosho,Tokushima,7,[ 9 ]
Naruto Itano Kofun Cluster 鳴門板野古墳群 Naruto Itano kofun-gun,Naruto,,[ 10 ]
Bandō Prisoner-of-War Camp 板東俘虜収容所跡 Bandō furyoshūyōjo ato,Naruto,,[ 11 ]
Wakasugiyama Cinnabar Production Site 若杉山辰砂採掘遺跡 Wakasugiyama shinsa saikutsu iseki,Anan,,[ 12 ]
