Date,Co-Hosts,Guests/Segments
March 1,Regis Philbin & Kelly Ripa,"Chris O'Donnell , Carrie Ann Inaba , and Beautiful Baby Week"
March 2,Regis Philbin & Kelly Ripa,"Jake Pavelka , Johnny Weir and Beautiful Baby Week"
March 3,Regis Philbin & Kelly Ripa,"Heidi Klum , Jeff Garlin , Corinne Bailey Rae , and Beautiful Baby Week"
March 4,Regis Philbin & Kelly Ripa,"Tom Hanks , Tom Brokaw , and Beautiful Baby Week"
March 5,Kelly Ripa & Anderson Cooper,"Apolo Ohno , Beautiful Baby Week , John Walsh , Fitness Friday"
March 8,Kelly Ripa & Mark Consuelos,Chace Crawford and Jason & Molly
March 9,Kelly Ripa & Andy Richter,"Chelsea Handler , James Spader , and Chris Byrne the Toy Guy"
March 10,Kelly Ripa & Ludacris,America Ferrera and Bret Michaels
March 11,Kelly Ripa & Jerry Seinfeld,Donald Trump and Peter Gros
March 12,Kelly Ripa & Anderson Cooper,"Guy Fieri , Ted Danson and Fitness Friday"
March 15,Regis Philbin & Kelly Ripa,Jennifer Aniston and The Script
March 16,Regis Philbin & Kelly Ripa,Kristen Stewart and Kirstie Alley
March 17,Regis Philbin & Kelly Ripa,"Jude Law , Mindy Kaling , and Celtic Woman"
March 18,Regis Philbin & Kelly Ripa,Gerard Butler and Toni Collette
March 19,Kelly Ripa & Kyle MacLachlan,"Edie Falco , Joseph Fiennes and Fitness Friday"
March 29,Regis Philbin & Kara DioGuardi,"Kelsey Grammer , New York Auto Show Week"
March 30,Regis Philbin & Joy Philbin,"Jeff Goldblum , Daughtry , New York Auto Show Week"
March 31,Regis Philbin & Cat Deeley,"Tyler Perry , Barenaked Ladies , New York Auto Show Week"
