No,G/S/B,Athlete,Country,Years,Event
5,( 3/2/0 ),Igor Ter-Ovanesyan,Soviet Union,1958-1971,Long jump
4,( 4/0/0 ),Jānis Lūsis,Soviet Union,1962-1974,Javelin throw
4,( 4/0/0 ),Colin Jackson,Great Britain,1990-2002,110 m hurdles
4,( 4/0/0 ),Steve Backley,Great Britain,1990-2002,Javelin throw
4,( 4/0/0 ),Mahiedine Mekhissi-Benabbad,France,2010-2018,3000 m steeplechase
4,( 3/1/0 ),Mohamed Farah,Great Britain,2006-2014,5000 m
4,( 3/1/0 ),Kevin Borlée,Belgium,2010-2018,4 × 400 m
4,( 3/0/1 ),Adam Kszczot,Poland,2010-2018,800 m
4,( 2/2/0 ),Viktor Sanejev,Soviet Union,1969-1978,Triple jump
4,( 0/3/1 ),Gerd Kanter,Estonia,2002-2016,Discus throw
4,( 0/2/2 ),Alexander Kosenkow,Germany,2002-2014,4 × 100 m
4,( 0/1/3 ),Lothar Milde,Germany & East Germany,1962-1971,Discus throw
