Date,Co-Hosts,Guests/Segments
September 7,Regis Philbin & Kelly Ripa,"Stephen Moyer , Jerry Ferrara , and Rachel Zoe"
September 8,Regis Philbin & Kelly Ripa,Queen Latifah and AnnaLynne McCord
September 9,Regis Philbin & Kelly Ripa,Tyler Perry and Michael Douglas
September 10,Regis Philbin & Kelly Ripa,"Jason Bateman , Amber Tamblyn , and Smokey Robinson"
September 14,Regis Philbin & Kelly Ripa,"Chace Crawford , Michael Strahan , Kim Clijsters , and Guinness World Record Breaker Week"
September 15,Regis Philbin & Kelly Ripa,"Aaron Eckhart , Laura Leighton , and Guinness World Record Breaker Week"
September 16,Regis Philbin & Kelly Ripa,"Megan Fox , Serena Williams , and Guinness World Record Breaker Week"
September 17,Regis Philbin & Kelly Ripa,"Dennis Quaid , 2009 NASCAR Sprint Cup Series , and Guinness World Record Breaker Week"
September 18,Kelly Ripa & David Duchovny,"America 's Got Talent winner Kevin Skinner , Ricky Gervais , and Guinness World Record Breaker Week"
September 21,Regis Philbin & Kelly Ripa,Julianna Margulies and David Gray
September 22,Regis Philbin & Kelly Ripa,Christian Slater and LL Cool J
September 23,Regis Philbin & Kelly Ripa,Clive Owen and Melina Kanakaredes
September 24,Regis Philbin & Kelly Ripa,Laurence Fishburne and Whitney Port
September 25,Kelly Ripa & Jeff Probst,"Jude Law , John Krasinski , and Jo Frost"
September 28,Regis Philbin & Kelly Ripa,Eli Manning and 2009 Relly Awards
September 29,Regis Philbin & Kelly Ripa,Patricia Heaton and 2009 Relly Awards
September 30,Regis Philbin & Kelly Ripa,Kelsey Grammer and 2009 Relly Awards
