Year,Title,Actors
2002,Kalusukovalani,"Uday Kiran , Prathyusha , Gajala"
2006,Ashok,"N. T. Rama Rao , Sameera Reddy"
2007,Athidhi,"Mahesh Babu , Amrita Rao"
2009,Kick,"Ravi Teja , Ileana D'Cruz"
2009,Kalyanram Kathi,"Kalyan Ram , Sana Khan , Shaam"
2011,Oosaravelli,"N. T. Rama Rao , Tamannaah Bhatia"
2014,Yevadu,"Allu Arjun , Ram Charan , Shruti Haasan , Amy Jackson"
2014,Race Gurram,"Allu Arjun , Shruti Haasan"
2014,Kick,"Salman Khan , Jacqueline Fernandez"
2015,Temper,"N. T. Rama Rao , Kajal Aggarwal"
2015,Kick 2,"Ravi Teja , Rakul Preet Singh"
2018,Touch Chesi Chudu,"Ravi Teja , Raashi Khanna"
2017,Aaradugula Bullet,"Gopichand , Nayanthara"
