Year,Artist,Song
1995,Myriam Hernández,Ese Hombre
1996,Enrique Iglesias,Por Amarte
1997,Luis Miguel,Por Debajo de la Mesa
1998,Ricky Martin,Vuelve
1999,Chayanne,Dejaría Todo
2000,Son by Four,A Puro Dolor
2001,Juan Gabriel,Abrázame Muy Fuerte
2002,Chayanne,Y Tu Te Vas
2003,Ricky Martin,Tal Vez
2004,Chayanne,Cuidarte el Alma
2005,Juanes,La Camisa Negra
2006,Maná,Labios Compartidos
2007,La 5a Estacion,Me Muero
2008,Maná,Si No Te Hubieras Ido
2009,"Luis Fonsi featuring David Bisbal , Aleks Syntek , and Noel Schajris",Aquí Estoy Yo
2010,Enrique Iglesias featuring Juan Luis Guerra,Cuando Me Enamoro
2011,Don Omar featuring Lucenzo,Danza Kuduro
2012,Michel Teló,Ai Se Eu Te Pego
2013,Daddy Yankee,Limbo
2014,Enrique Iglesias featuring Descemer Bueno and Gente de Zona,Bailando
